PRENOM_NOM;PRENOM;NOM;TEAM;POS;IDRECHERCHE1;IDRECHERCHE2
Jean-Eudes Aholou;Jean-Eudes;Aholou;STR;Midfielder;AholouJean-EudesSTR;
Abdoul Camara;Abdoul;Camara;GUI;Midfielder;CamaraAbdoulGUI;
Abdoulaye Bamba;Abdoulaye;Bamba;ANG;Defender;BambaAbdoulayeANG;
Morgan Amalfitano;Morgan;Amalfitano;REN;Midfielder;AmalfitanoMorganREN;
Abdoulaye Toure;Abdoulaye;Toure;NTE;Midfielder;ToureAbdoulayeNTE;
Aymen Abdennour;Aymen;Abdennour;MAR;Defender;AbdennourAymenMAR;
Abou Diaby  ;Abou;Diaby;MAR;Midfielder;DiabyAbouMAR;
Adam Lang;Adam;Lang;DIJ;Defender;LangAdamDIJ;
Gil Bastiao Dias;Gil;Bastiao Dias;MON;Midfielder;Bastiao_DiasGilMON;
Adama Mbengue;Adama;Mbengue;CAE;Midfielder;MbengueAdamaCAE;
Karim Azamoum;Karim;Azamoum;TRO;Midfielder;AzamoumKarimTRO;
Adama Soumaoro;Adama;Soumaoro;LIL;Defender;SoumaoroAdamaLIL;
Diego Benaglio;Diego;Benaglio;MON;Goalkeeper;BenaglioDiegoMON;
Adil Rami;Adil;Rami;MAR;Defender;RamiAdilMAR;
Benjamin Andre;Benjamin;Andre;REN;Midfielder;AndreBenjaminREN;
Adrien Rabiot;Adrien;Rabiot;PSG;Midfielder;RabiotAdrienPSG;
Joakim Balmy  ;Joakim;Balmy;NIC;Defender;BalmyJoakimNIC;
Adrien Thomasson;Adrien;Thomasson;NTE;Midfielder;ThomassonAdrienNTE;
Sylvain Armand;Sylvain;Armand;REN;Defender;ArmandSylvainREN;
Alaeddine Yahia  ;Alaeddine;Yahia;CAE;Defender;YahiaAlaeddineCAE;
Alan Dzabana;Alan;Dzabana;LYO;Forward;DzabanaAlanLYO;
Mario Balotelli;Mario;Balotelli;NIC;Forward;BalotelliMarioNIC;
Alban Lafont;Alban;Lafont;TOU;Goalkeeper;LafontAlbanTOU;
Walter Benitez;Walter;Benitez;NIC;Goalkeeper;BenitezWalterNIC;
Alexander Djiku;Alexander;Djiku;CAE;Defender;DjikuAlexanderCAE;
Alexander Kacaniklic;Alexander;Kacaniklic;NTE;Midfielder;KacaniklicAlexanderNTE;
Alexander Toft Soderlund;Alexander Toft;Soderlund;ETI;Forward;SoderlundAlexander_ToftETI;
Anthony;Anthony;Mandrea;ANG;Goalkeeper;MandreaAnthonyANG;
Alexandre Letellier;Alexandre;Letellier;ANG;Goalkeeper;LetellierAlexandreANG;
Alexandre Mendy;Alexandre;Mendy;BDX;Forward;MendyAlexandreBDX;
Alexandre Olliero  ;Alexandre;Olliero;NTE;Goalkeeper;OllieroAlexandreNTE;
Stephane Bahoken;Stephane;Bahoken;STR;Forward;BahokenStephaneSTR;
Alexandros Katranis;Alexandros;Katranis;ETI;Defender;KatranisAlexandrosETI;
Yassine El Ghanassy;Yassine;El Ghanassy;NTE;Midfielder;El_GhanassyYassineNTE;
Prejuce Nakoulma;Prejuce Niguimbe;Nakoulma;NTE;Forward;NakoulmaPrejuce_NiguimbeNTE;
David Alcibiade;David;Alcibiade;NTE;Defender;AlcibiadeDavidNTE;
Rene Krhin;Rene;Krhin;NTE;Midfielder;KrhinReneNTE;
Alexis Alegue;Alexis;Alegue;NTE;Forward;AlegueAlexisNTE;
Alexis Blin;Alexis;Blin;TOU;Midfielder;BlinAlexisTOU;
Digbo Gnampa Habib Maiga;Digbo Gnampa Habib;Maiga;ETI;Midfielder;MaigaDigbo_Gnampa_HabibETI;
Alexis Guendouz  ;Alexis;Guendouz;ETI;Goalkeeper;GuendouzAlexisETI;
;;;;;;
Alexis Mane;Alexis;Mane;GUI;Midfielder;ManeAlexisGUI;
Olivier Boscagli;Olivier;Boscagli;NIC;Defender;BoscagliOlivierNIC;
Ali Ahamada;Ali;Ahamada;TOU;Goalkeeper;AhamadaAliTOU;
Alexy Bosetti;Alexy;Bosetti;NIC;Forward;BosettiAlexyNIC;
Mehdi Beneddine;Mehdi;Beneddine;MON;Defender;BeneddineMehdiMON;
Francois Bellugou;Francois;Bellugou;TRO;Midfielder;BellugouFrancoisTRO;
Alphonse Areola;Alphonse;Areola;PSG;Goalkeeper;AreolaAlphonsePSG;
Andre Zambo Anguissa;Andre;Zambo Anguissa;MAR;Midfielder;Zambo_AnguissaAndreMAR;
Patrick Burner;Patrick;Burner;NIC;Defender;BurnerPatrickNIC;
Gabriel Boschilia;Gabriel;Boschilia;MON;Midfielder;BoschiliaGabrielMON;
Andrei Girotto;Andrei;Girotto;NTE;Midfielder;GirottoAndreiNTE;
Andy Delort;Andy;Delort;TOU;Forward;DelortAndyTOU;
Angel Di Maria;Angel;Di Maria;PSG;Forward;Di_MariaAngelPSG;
Angelo Fulgini;Angelo;Fulgini;ANG;Midfielder;FulginiAngeloANG;
Anthony Belmonte;Anthony;Belmonte;DIJ;Midfielder;BelmonteAnthonyDIJ;
Jeremy Blayac;Jeremy;Blayac;STR;Forward;BlayacJeremySTR;
Anthony Lopes;Anthony;Lopes;LYO;Goalkeeper;LopesAnthonyLYO;
Anthony Maisonnial;Anthony;Maisonnial;ETI;Goalkeeper;MaisonnialAnthonyETI;
Ludovic Baal;Ludovic;Baal;REN;Defender;BaalLudovicREN;
Anthony Walongwa;Anthony;Walongwa;NTE;Defender;WalongwaAnthonyNTE;
Anwar El Ghazi;Anwar;El Ghazi;LIL;Midfielder;El_GhaziAnwarLIL;
Yoan Cardinale;Yoan;Cardinale;NIC;Goalkeeper;CardinaleYoanNIC;
Arnaud Nordin;Arnaud;Nordin;ETI;Midfielder;NordinArnaudETI;
Bryan Constant;Bryan;Constant;NIC;Forward;ConstantBryanNIC;
Arnold Bouka Mou;Arnold;Bouka Mou;DIJ;Defender;Bouka_MouArnoldDIJ;
Assane Diousse;Assane;Diousse;ETI;Midfielder;DiousseAssaneETI;
Bachibou Koita;Bachibou;Koita;AMN;Forward;KoitaBachibouAMN;
Baissama Sankoh;Baissama;Sankoh;CAE;Defender;SankohBaissamaCAE;
Bongani Zungu;Bongani;Zungu;AMN;Midfielder;ZunguBonganiAMN;
Bakaye Dibassy;Bakaye;Dibassy;AMN;Defender;DibassyBakayeAMN;
Baptiste Guillaume;Baptiste;Guillaume;ANG;Forward;GuillaumeBaptisteANG;
Papy Djilobodji;Papy;Djilobodji;DIJ;Defender;DjilobodjiPapyDIJ;
Baptiste Reynet;Baptiste;Reynet;DIJ;Goalkeeper;ReynetBaptisteDIJ;
Baptiste Santamaria;Baptiste;Santamaria;ANG;Midfielder;SantamariaBaptisteANG;
Ramy Bensebaini;Ramy;Bensebaini;REN;Defender;BensebainiRamyREN;
Benjamin Aulagnier;Benjamin;Aulagnier;ETI;Forward;AulagnierBenjaminETI;
Benjamin Bourigeaud;Benjamin;Bourigeaud;REN;Midfielder;BourigeaudBenjaminREN;
Landry Bonnefoi  ;Landry;Bonnefoi;STR;Goalkeeper;BonnefoiLandrySTR;
Xeka;;Xeka;DIJ;Midfielder;XekaDIJ;
Benjamin Jeannot;Benjamin;Jeannot;DIJ;Forward;JeannotBenjaminDIJ;
Benjamin Karamoko;Benjamin;Karamoko;ETI;Defender;KaramokoBenjaminETI;
Benjamin Lecomte;Benjamin;Lecomte;MTP;Goalkeeper;LecomteBenjaminMTP;
Benjamin Leroy;Benjamin;Leroy;DIJ;Goalkeeper;LeroyBenjaminDIJ;
Chaouki Ben Saada;Chaouki;Ben Saada;TRO;Midfielder;Ben_SaadaChaoukiTRO;
Benoit Assou-Ekotto;Benoit;Assou-Ekotto;MET;Defender;Assou-EkottoBenoitMET;
Benoit Costil;Benoit;Costil;BDX;Goalkeeper;CostilBenoitBDX;
Bertrand Traore;Bertrand;Traore;LYO;Forward;TraoreBertrandLYO;
Billy Ketkeophomphone;Billy;Ketkeophomphone;ANG;Forward;KetkeophomphoneBillyANG;
Benjamin Corgnet;Benjamin;Corgnet;STR;Midfielder;CorgnetBenjaminSTR;
Bobby Allain  ;Bobby;Allain;DIJ;Goalkeeper;AllainBobbyDIJ;
Boubacar Kamara  ;Boubacar;Kamara;MAR;Defender;KamaraBoubacarMAR;
Bouna Sarr;Bouna;Sarr;MAR;Midfielder;SarrBounaMAR;
Brandon;;Brandon;REN;Forward;BrandonREN;
Brian Fernandez;Brian;Fernandez;MET;Forward;FernandezBrianMET;
Brice Samba;Brice;Samba;CAE;Goalkeeper;SambaBriceCAE;
Danilo Fernando Avelar;Danilo Fernando;Avelar;AMN;Defender;AvelarDanilo_FernandoAMN;
Brighton Labeau;Brighton;Labeau;AMN;Forward;LabeauBrightonAMN;
Wylan Cyprien;Wylan;Cyprien;NIC;Midfielder;CyprienWylanNIC;
Bryan Dabo;Bryan;Dabo;ETI;Midfielder;DaboBryanETI;
Bryan Passi;Bryan;Passi;MTP;Midfielder;PassiBryanMTP;
Raphael Caceres;Raphael;Caceres;TRO;Forward;CaceresRaphaelTRO;
Cafu;;Cafu;BDX;Forward;CafuBDX;
Cafu;;Cafu;MET;Midfielder;CafuMET;
Casimir Ninga;Casimir;Ninga;MTP;Forward;NingaCasimirMTP;
Cedric Mongongu;Cedric;Mongongu;MTP;Defender;MongonguCedricMTP;
Cedric Varrault;Cedric;Varrault;DIJ;Defender;VarraultCedricDIJ;
Cedric Yambere;Cedric;Yambere;DIJ;Defender;YambereCedricDIJ;
Chahreddine Boukholda;Chahreddine;Boukholda;LIL;Midfielder;BoukholdaChahreddineLIL;
Chang-hoon Kwon;Chang-hoon;Kwon;DIJ;Midfielder;KwonChang-hoonDIJ;
Alois Confais;Alois;Confais;TRO;Midfielder;ConfaisAloisTRO;
Jeremy Cordoval;Jeremy;Cordoval;TRO;Defender;CordovalJeremyTRO;
Charly Charrier;Charly;Charrier;AMN;Midfielder;CharrierCharlyAMN;
Cheikh Mbengue;Cheikh;Mbengue;ETI;Defender;MbengueCheikhETI;
Chidozie Awaziem;Chidozie;Awaziem;NTE;Defender;AwaziemChidozieNTE;
Chris Philipps;Chris;Philipps;MET;Defender;PhilippsChrisMET;
Christian Kouakou;Christian;Kouakou;CAE;Forward;KouakouChristianCAE;
Stephane Darbion;Stephane;Darbion;TRO;Midfielder;DarbionStephaneTRO;
Dante;;Dante;NIC;Defender;DanteNIC;
Abdoul Razzagui Camara;Abdoul;Razzagui Camara;GUI;Forward;Razzagui_CamaraAbdoulGUI;
Christophe Kerbrat;Christophe;Kerbrat;GUI;Defender;KerbratChristopheGUI;
Christopher Jullien;Christopher;Jullien;TOU;Defender;JullienChristopherTOU;
Houssem Aouar;Houssem;Aouar;LYO;Midfielder;AouarHoussemLYO;
Christopher Martins-Pereira;Christopher;Martins-Pereira;LYO;Midfielder;Martins-PereiraChristopherLYO;
Ciprian Tatarusanu;Ciprian;Tatarusanu;NTE;Goalkeeper;TatarusanuCiprianNTE;
Clement Grenier;Clement;Grenier;LYO;Midfielder;GrenierClementLYO;
Clement Michelin;Clement;Michelin;TOU;Defender;MichelinClementTOU;
Clinton N'jie;Clinton;N'jie;MAR;Forward;N'jieClintonMAR;
Corentin Jean;Corentin;Jean;TOU;Midfielder;JeanCorentinTOU;
