ID;IDRECHERCHE1;PRENOM;NOM;TEAM;POS;PRIX;IDRECHERCHE2
;AholouJean-EudesSTR;Jean-Eudes;Aholou;STR;Midfielder;10;
;CamaraAbdoulGUI;Abdoul;Camara;GUI;Midfielder;10;
;BambaAbdoulayeANG;Abdoulaye;Bamba;ANG;Defender;10;
;AmalfitanoMorganREN;Morgan;Amalfitano;REN;Midfielder;10;
;ToureAbdoulayeNTE;Abdoulaye;Toure;NTE;Midfielder;10;
;AbdennourAymenMAR;Aymen;Abdennour;MAR;Defender;10;
;DiabyAbouMAR;Abou;Diaby;MAR;Midfielder;10;
;LangAdamDIJ;Adam;Lang;DIJ;Defender;10;
;Bastiao_DiasGilMON;Gil;Bastiao Dias;MON;Midfielder;10;
;MbengueAdamaCAE;Adama;Mbengue;CAE;Midfielder;10;
;AzamoumKarimTRO;Karim;Azamoum;TRO;Midfielder;10;
;SoumaoroAdamaLIL;Adama;Soumaoro;LIL;Defender;10;
;BenaglioDiegoMON;Diego;Benaglio;MON;Goalkeeper;10;
;RamiAdilMAR;Adil;Rami;MAR;Defender;10;
;AndreBenjaminREN;Benjamin;Andre;REN;Midfielder;10;
;RabiotAdrienPSG;Adrien;Rabiot;PSG;Midfielder;10;
;BalmyJoakimNIC;Joakim;Balmy;NIC;Defender;10;
;ThomassonAdrienNTE;Adrien;Thomasson;NTE;Midfielder;10;
;ArmandSylvainREN;Sylvain;Armand;REN;Defender;10;
;YahiaAlaeddineCAE;Alaeddine;Yahia;CAE;Defender;10;
;DzabanaAlanLYO;Alan;Dzabana;LYO;Forward;10;
;BalotelliMarioNIC;Mario;Balotelli;NIC;Forward;10;
;LafontAlbanTOU;Alban;Lafont;TOU;Goalkeeper;10;
;BenitezWalterNIC;Walter;Benitez;NIC;Goalkeeper;10;
;DjikuAlexanderCAE;Alexander;Djiku;CAE;Defender;10;
;KacaniklicAlexanderNTE;Alexander;Kacaniklic;NTE;Midfielder;10;
;SoderlundAlexander_ToftETI;Alexander Toft;Soderlund;ETI;Forward;10;
;MandreaAnthonyANG;Anthony;Mandrea;ANG;Goalkeeper;10;
;LetellierAlexandreANG;Alexandre;Letellier;ANG;Goalkeeper;10;
;MendyAlexandreBDX;Alexandre;Mendy;BDX;Forward;10;
