StatName;Gardien;Defenseur;Milieu;Attaquant
100BallonsTouch;;;0.4;0.4
15PassOK100;;;;0.2
15PassOK30;;-0.3;;-0.3
15PassOK40;;-0.2;;-0.2
15PassOK50;;-0.1;;-0.1
15PassOK90;;;;0
15PassOK95;;;;0.1
1ButPrisSansPenal;-0.3;-0.8;-0.15;
25PassOK100;;;0.4;
25PassOK30;-0.3;;-0.4;
25PassOK40;-0.25;;-0.3;
25PassOK50;-0.1;;-0.2;
25PassOK90;;;0;
25PassOK95;;;0.2;
2ButPrisSansPenal;-0.8;-1.5;-0.19;
3ButPrisSansPenal;-1.6;-1.9;-0.2;
4ButPrisSansPenal;-3.2;-2.7;-1.2;
5ButPrisSansPenal;-3.8;-3;-0.8;
6ButPrisSansPenal;-4.5;-3.5;-1;
80BallonsTouch;;;0.1;0.1
90BallonsTouch;;;0.2;0.2
AccurateKeeperSweeper;0.1;;;
Assists;0.6;0.1;0.12;0.29
BallRecoveries;;0.05;0.036;0.032
BigChancesCreated;;0.1;0.25;0.16
BonusVict;0.2;0.19;0.2;0.22
CentreRate;;-0.04;-0.07;-0.062
Clean60;;0.03;;
Clean60D;;0.15;;
CleanSheets;0.4;;;
CornersWon;;0.1;0.1;0.05
Crosses;;0.1;0.06;0.08
CRouge60;;-1.2;-1.2;-1.6
CRouge75;;-0.8;-0.8;-0.8
CRouge80;;-0.5;-0.5;-0.32
CRouge85;;-0.3;-0.4;-0.2
Dispossessed;;-0.15;-0.05;-0.01
DuelsWon;;0.04;0.021;0.02
Ecart+2;;0.18;0.2;0.15
Ecart+3;;0.3;0.4;0.2
Ecart+4;;0.6;0.8;0.25
Ecart-2;;-0.2;-0.2;
Ecart-3;;-0.3;-0.8;-0.25
Ecart-4;;;-1.2;-0.35
Ecart-5;;;-1.4;-0.45
EffectiveClearances;;0.05;0.065;0.02
FoulsCommitted;;-0.065;-0.06;-0.02
FoulsSuffered;;0.05;0.03;0.051
FreeKickGoals;;0.2;0.2;0.2
Goals;0.3;1.4;1.2;1.1
GoalsOutsideBox;;0.1;0.1;0.1
GrossOccazRate;;-0.1;-0.2;-0.02
Interceptions;;0.05;0.07;0.05
MalusDefaite;;-0.3;-0.2;-0.2
OwnGoals;-0.8;-0.75;-0.5;-0.5
PenaltyConceded;-0.6;-1;-0.7;-0.4
PenaltyKickGoals;;0;0;-0.7
PenaltyKickMisses;;-1;-1;-1
PenaltyKicksSaved;;-0.4;-0.8;-1.4
PenaltyKicksTaken;;0.3;0.3;0.3
PenaltySaves;1.1;;;
Punches;0.05;;;
RedCards;-1;;;
SavesFromShotsInsideBox;0.25;;;
SavesFromShotsOutsideBox;0.15;;;
Shots;;0.1;0.075;0.08
TackleLost;;-0.06;-0.06;
TacklesWon;;0.07;0.04;0.03
TirPasCadre;;-0.08;-0.09;-0.14
YellowCards;-0.5;-0.1;-0.3;-0.3
