IDRECHERCHE;JOURNEE;GamesPlayed;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches;6ButPrisSansPenal;5ButPrisSansPenal;4ButPrisSansPenal;3ButPrisSansPenal;2ButPrisSansPenal;1ButPrisSansPenal;CRouge60;CRouge75;CRouge80;CRouge85;CentreRate;Clean60;Clean60D;Ecart-5;Ecart-4;Ecart-3;Ecart-2;Ecart+2;Ecart+3;Ecart+4;GrossOccazRate;MalusDefaite;15PassOK30;15PassOK40;15PassOK50;15PassOK90;15PassOK95;15PassOK100;25PassOK30;25PassOK40;25PassOK50;25PassOK90;25PassOK95;25PassOK100;TackleLost;TirPasCadre;80BallonsTouch;90BallonsTouch;100BallonsTouch;BonusVict;CoupFrancRate
BalotelliMarioNIC;201709;1;90;1;0;0;0;0;0;0;0;0;5;2;1;1;0;1;0;0;0;3;1;23;28;0;1;1;3;2;4;47;6;2;3;2;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Dani_AlvesPSG;201709;1;90;1;0;0;1;0;0;0;0;0;1;0;1;2;0;2;0;2;1;1;1;66;77;0;0;0;5;0;3;89;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1
MoutinhoJoaoMON;201709;1;90;1;0;0;0;0;0;0;0;0;1;0;0;4;1;5;1;3;2;1;0;40;45;1;1;0;5;0;4;62;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;1;0;1;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1
VizcarrondoOswaldoTRO;201709;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;2;1;1;13;16;0;0;0;3;0;3;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RamiAdilMAR;201709;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;1;2;26;32;0;5;0;5;0;9;46;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
NeymarPSG;201709;1;90;1;0;0;1;0;0;0;0;0;4;2;0;6;3;4;0;2;1;2;2;38;44;2;0;0;4;5;9;76;4;2;2;1;1;0;0;2;0;0;0;0;0;5;4;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;0;1;1
MandandaSteveMAR;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;0;0;0;8;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;6;4;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ToulalanJeremyBDX;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;1;42;48;0;3;0;7;1;7;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
KawashimaEijiMET;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;0;0;0;6;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;1;2;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yanga-MbiwaMapouLYO;201709;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;66;72;0;0;0;8;0;2;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
MarquinhosPSG;201709;1;90;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;2;2;0;0;0;58;65;0;6;0;3;0;8;86;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;1;0;0;1;0
PayetDimitriMAR;201709;1;90;1;0;0;0;0;0;1;0;0;3;1;2;7;3;4;0;1;1;1;1;36;47;1;0;2;3;0;2;65;4;2;1;1;0;1;0;2;0;0;0;0;0;3;3;1;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0
CabellaRemyETI;201709;1;90;1;0;0;0;0;0;0;0;0;4;1;0;5;0;1;0;1;0;0;2;39;46;0;1;0;6;3;7;74;7;3;1;0;1;0;0;5;0;0;0;0;0;2;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;3;0;0;0;1;0
Theophile-CatherineKevinETI;201709;1;90;1;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;66;75;0;1;0;5;4;5;86;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
HamoumaRomainETI;201709;1;90;1;0;0;1;0;0;0;0;0;3;0;1;10;5;3;0;1;1;1;1;30;36;0;0;0;1;1;3;60;8;2;1;0;0;0;0;2;0;0;0;0;0;8;7;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0
AmalfitanoMorganREN;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;1;0;2;40;47;1;1;0;5;2;6;61;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
DanteNIC;201709;1;90;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;3;1;80;86;0;1;0;9;1;3;95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
SubasicDanijelMON;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;24;0;1;0;9;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;1;3;1;0;0;0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JalletChristopheNIC;201709;1;90;1;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;1;0;1;0;70;83;0;0;0;3;1;2;97;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
RuffierStephaneETI;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;34;0;0;0;8;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
MitroglouKonstantinosMAR;201709;1;90;1;0;0;0;0;0;1;0;0;5;3;0;0;0;1;1;0;0;1;0;4;8;0;2;0;1;0;2;20;8;5;0;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Rony_LopesMON;201709;1;90;1;0;0;0;0;0;1;1;0;4;2;1;1;0;1;0;4;1;3;2;27;31;0;0;0;7;1;7;53;6;3;1;2;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;3;2;0;0;0;0;0
KongoloTerenceMON;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;1;3;1;1;2;2;0;2;0;13;23;1;0;1;6;0;2;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;5;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
GakpeSergeAMN;201709;1;90;1;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;3;2;0;1;16;20;0;0;0;6;1;5;33;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
DosseviMatthieuMET;201709;1;90;1;0;0;0;0;0;0;1;0;3;0;2;6;1;2;0;0;0;1;2;20;25;0;0;0;5;5;7;54;1;1;2;0;0;0;0;0;0;0;0;0;0;5;5;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
TeteKennyLYO;201709;1;90;1;0;0;0;0;0;0;0;0;3;1;2;5;1;0;0;5;4;0;1;29;32;1;3;0;4;0;9;69;4;2;1;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;1;0
El_GhaziAnwarLIL;201709;1;90;1;0;0;0;0;0;0;1;0;2;1;1;7;3;3;0;0;0;2;2;29;31;2;0;2;2;0;2;57;1;1;1;1;0;0;0;2;0;0;0;0;0;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
ToureAlmamyMON;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;7;4;1;0;20;28;0;4;0;5;0;11;60;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;4;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
MaignanMikeLIL;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;35;0;0;0;7;2;2;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
RabiotAdrienPSG;201709;1;90;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;64;69;0;0;0;4;0;0;77;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
GlikKamilMON;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;14;19;0;2;0;5;0;3;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;7;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JankoSaidyETI;201709;1;90;1;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;2;1;0;2;44;49;1;0;0;5;3;7;76;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
