Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Raggi;Andrea;MON;MET;H;433;DC;1;90;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;39;43;0;1;0;4;0;2;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Sio;Giovanni ;MTP;TOU;H;3421;FW;1;90;1;0;0;0;0;0;1;0;0;7;2;0;3;2;2;0;0;0;4;1;27;31;2;2;0;5;2;5;52;8;5;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Falcao;Radamel ;MON;MET;H;433;FW;1;90;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;1;0;2;23;25;0;1;0;2;1;6;41;8;3;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vizcarrondo;Oswaldo;TRO;LIL;H;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;1;0;31;36;0;4;0;5;0;5;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;6;0
Moutinho;Joao;MON;MET;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;3;1;3;0;0;0;1;2;67;72;0;1;2;8;0;3;88;2;0;1;0;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Rami;Adil;MAR;CAE;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;30;37;0;2;0;6;0;4;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Rafael;;LYO;PSG;H;433;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;2;2;0;22;31;0;2;0;6;1;6;58;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Cavani;Edinson;PSG;LYO;A;433;FW;1;90;1;0;0;1;0;0;0;0;0;2;1;0;0;0;1;0;1;1;2;0;12;14;0;2;0;2;0;3;20;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Silva;Thiago;PSG;LYO;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;1;1;0;2;78;84;0;4;0;7;0;7;100;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;8;0
Mandanda;Steve;MAR;CAE;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;25;0;0;0;10;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0
Abeid;Mehdi;DIJ;STR;A;433;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;4;0;22;31;0;1;0;4;2;6;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;0
Kakuta;Gael;AMN;GUI;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;4;1;2;9;1;2;1;1;1;1;2;36;47;1;1;0;7;1;5;78;4;2;2;0;1;0;0;4;0;0;0;0;0;4;3;4;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Mangane;Kader;STR;DIJ;H;4132;DC;1;90;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;2;2;0;1;15;26;0;5;0;5;2;10;45;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;8;0
Marquinhos;;PSG;LYO;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;45;51;0;2;0;4;0;2;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0
Luiz Gustavo;;MAR;CAE;A;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;2;2;2;2;59;64;0;2;0;9;2;8;80;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Cabella;Remy;ETI;NIC;A;4231;AMC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2;2;0;1;42;56;0;0;0;8;2;5;72;2;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Marcelo;;LYO;PSG;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;32;39;0;1;0;6;0;3;52;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;7;0
Dante;;NIC;ETI;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;0;1;64;65;0;1;0;7;0;3;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Roux;Nolan;MET;MON;A;541;ML;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;3;17;21;0;1;0;1;0;5;30;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0
Subasic;Danijel;MON;MET;H;433;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;19;0;0;0;8;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
Ruffier;Stephane;ETI;NIC;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;25;0;0;0;7;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
Kurzawa;Layvin;PSG;LYO;A;433;DL;1;90;1;0;0;0;0;0;1;0;0;3;1;1;2;0;1;0;3;2;1;1;38;49;0;4;0;6;3;11;76;4;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
