Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Balotelli;Mario;NIC;PSG;H;433;FW;1;90;1;0;0;0;0;0;0;0;0;7;1;2;3;0;1;0;0;0;4;4;25;29;0;3;0;1;1;8;52;2;2;5;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Dani Alves;;PSG;ANG;H;433;DR;1;90;1;0;0;1;0;0;0;0;0;1;1;4;3;2;1;0;0;0;1;1;96;107;1;1;0;3;3;5;131;1;0;1;0;1;0;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Dani Alves;;PSG;NIC;A;433;DR;1;90;1;0;0;0;0;0;1;0;0;2;1;3;5;3;2;0;1;1;1;0;56;62;3;0;0;7;1;2;87;4;1;1;1;0;1;0;3;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Raggi;Andrea;MON;LIL;H;4231;DL;1;90;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;2;2;1;1;0;24;33;0;0;0;12;1;3;66;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Moutinho;Joao;MON;LIL;H;4231;DMC;1;90;1;0;0;1;0;0;0;1;0;0;0;1;2;1;2;1;4;3;4;0;61;70;0;0;1;8;1;5;84;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Di Maria;Angel;PSG;NIC;A;433;FWL;1;90;1;0;0;0;0;0;1;0;0;5;3;0;11;4;3;0;0;0;0;1;38;47;2;0;2;3;2;3;81;9;4;1;3;0;1;0;2;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Sio;Giovanni ;MTP;DIJ;H;3421;FW;1;90;1;0;0;0;0;0;1;0;0;8;7;1;3;0;0;0;0;0;6;1;17;24;0;3;0;4;0;4;43;7;6;2;5;2;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0
Vizcarrondo;Oswaldo;TRO;AMN;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;1;1;2;2;18;31;0;4;0;3;0;7;54;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;12;0
Rami;Adil;MAR;LYO;H;4231;DC;1;90;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;2;41;45;0;6;1;7;0;8;64;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;9;9;0
Rafael;;LYO;MAR;A;433;DR;1;90;1;0;0;1;0;0;0;0;0;0;0;5;3;1;1;0;2;2;2;0;25;33;1;2;1;5;1;5;61;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Silva;Thiago;PSG;ANG;H;433;DC;1;90;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;3;1;1;0;0;87;90;0;3;0;10;1;5;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;10;0
Silva;Thiago;PSG;NIC;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;57;60;0;1;0;5;0;2;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0
Mandanda;Steve;MAR;LYO;H;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;19;0;0;0;6;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;2;2;0;0;0;0;0;0;0
Kawashima;Eiji;MET;NTE;H;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;39;0;0;0;10;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;2;0;0;0;0;0;0;0
Gradel;Max;TOU;STR;H;433;FWL;1;90;1;0;0;0;0;0;0;0;0;1;1;0;11;0;0;0;0;0;1;1;18;21;0;1;0;2;2;4;45;4;1;0;1;0;0;0;2;0;0;0;0;0;3;3;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Kakuta;Gael;AMN;TRO;H;4222;AMC;1;90;1;0;0;0;0;0;0;0;0;2;0;0;6;0;1;0;2;0;0;2;25;43;0;2;0;8;1;7;67;1;0;2;0;0;0;0;4;0;0;0;0;0;3;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Verratti;Marco;PSG;ANG;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;3;127;131;0;0;0;5;11;15;162;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Verratti;Marco;PSG;NIC;A;433;MC;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;1;91;100;0;0;0;5;1;4;111;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Debuchy;Mathieu;ETI;GUI;H;4231;DR;1;90;1;0;0;0;0;0;0;0;0;1;0;2;7;2;0;0;5;4;5;1;31;34;2;4;0;1;1;11;70;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Payet;Dimitri;MAR;LYO;H;4231;AMC;1;90;1;0;0;0;0;0;0;0;1;3;1;0;8;3;4;1;0;0;1;2;34;44;1;1;0;6;7;10;77;4;2;1;0;1;0;0;1;0;0;0;0;0;1;1;0;4;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Luiz Gustavo;;MAR;LYO;H;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;2;0;62;70;0;0;0;4;0;4;89;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;5;0
Cabella;Remy;ETI;GUI;H;4231;AMC;1;90;1;0;0;0;0;0;1;0;0;5;2;1;6;1;2;0;1;1;0;3;67;79;0;0;1;6;6;10;110;3;1;4;1;1;1;0;3;0;0;0;0;0;4;2;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
